['130727913', '4567371', '1142217', '802487']
['130686258', '4564481', '1215362', '801261']
['130640402', '4578467', '1206176', '806314']
['130621780', '4582666', '1174325', '802405']
['130663560', '4543506', '1165863', '798932']
['130674429', '4537279', '1177914', '800343']
['130744715', '4956396', '2138035', '811824']
['130622109', '4659269', '1174767', '803977']
['130613526', '4541381', '1147893', '801344']
['130694566', '4577724', '1180724', '799473']
[0.9999998419404071, 0.999999989821196, 0.9999999695208996, 0.9999999491057029, 0.9999999944931027, 0.9999680612084365, 0.9999704751336425, 0.9999995746976361, 0.999999936882919]
